CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,FINGER_POSITIONS,NOTE_NAMES,FRETS
A#,13,1;3;5;b7;9;11;13,"x,1,0,2,3,4",A# D G# C G,"x, 1, 0, 1, 1, 3"
A#,13,1;3;5;b7;9;11;13,"4,x,3,2,1,1",A# G# C D G,"6, x, 6, 5, 3, 3"
A#,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4",A# G# D G C,"6, x, 6, 7, 8, 8"
A#,7(#9),1;3;5;b7;#9,"x,1,0,2,4,3",A# D G# C F,"x, 1, 0, 1, 1, 1"
A#,7(#9),1;3;5;b7;#9,"2,1,3,3,3,x",A# D G# C F,"6, 5, 6, 5, 6, x"
A#,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4",A# F G# D F C,"6, 8, 6, 7, 6, 8"
A#,9,1;3;5;b7;9,"x,2,0,3,4,x",A# D G# C,"x, 1, 0, 1, 1, x"
A#,9,1;3;5;b7;9,"x,1,3,2,4,x",D G# C F,"x, 5, 6, 5, 6, x"
A#,9,1;3;5;b7;9,"1,x,1,2,1,4",A# G# D F C,"6, x, 6, 7, 6, 8"
A#,9b5,1;3;b5;b7;9,"0,1,0,2,3,0",E A# D G# C E,"0, 1, 0, 1, 1, 0"
A#,9b5,1;3;b5;b7;9,"2,1,3,1,1,4",A# D G# C E A#,"6, 5, 6, 5, 5, 6"
A#,9b5,1;3;b5;b7;9,"x,x,1,2,3,1",A# E G# C,"x, x, 8, 9, 9, 8"
A#,7,1;3;5;b7,"x,1,3,1,4,1",A# F G# D F,"x, 1, 3, 1, 3, 1"
A#,7,1;3;5;b7,"1,3,1,2,4,1",A# F G# D G# A#,"6, 8, 6, 7, 9, 6"
A#,7,1;3;5;b7,"x,x,1,3,2,4",A# F G# D,"x, x, 8, 10, 9, 10"
A#,dim7,1;b3;b5;bb7,"2,4,1,3,x,x",G C# E A#,"3, 4, 2, 3, x, x"
A#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",C# G A# E,"x, 4, 5, 3, 5, x"
A#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",A# E G C#,"x, x, 8, 9, 8, 9"
A#,dim7,1;b3;b5;bb7,"x,1,2,0,3,x",A# E G C#,"x, 1, 2, 0, 2, x"
A#,dim7,1;b3;b5;bb7,"2,x,1,3,x,x",A# G C#,"6, x, 5, 6, x, x"
A#,dim7,1;b3;b5;bb7,"2,x,1,3,x,x",C# A# E,"9, x, 8, 9, x, x"
A#,dim7,1;b3;b5;bb7,"3,x,1,4,2,x",A# G C# E,"6, x, 5, 6, 5, x"
A#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",E A# C# G,"x, 7, 8, 6, 8, x"
A#,aug,1;3;#5,"x,3,2,1,1,x",D F A# D,"x, 5, 3, 3, 3, x"
A#,aug,1;3;#5,"4,3,2,1,x,x",A# D F A#,"6, 5, 3, 3, x, x"
A#,aug,1;3;#5,"x,x,4,2,3,1",D F A# D,"x, x, 0, 10, 11, 10"
A#,maj,1;3;5,"x,1,3,3,3,x",A# F A# D,"x, 1, 3, 3, 3, x"
A#,maj,1;3;5,"1,3,4,2,1,1",A# F A# D F A#,"6, 8, 8, 7, 6, 6"
A#,maj,1;3;5,"x,4,3,1,2,1",A# D F A# D,"x, 1, 0, 10, 11, 10"
A#,11,1;3;5;b7;9;11,"x,1,1,1,1,1",A# D# G# C F,"x, 1, 1, 1, 1, 1"
A#,11,1;3;5;b7;9;11,"3,x,4,2,1,1",A# G# C D# G#,"6, x, 6, 5, 4, 4"
A#,11,1;3;5;b7;9;11,"x,x,1,1,2,1",A# D# G# C,"x, x, 8, 8, 9, 8"
A#,maj9,1;3;5;7;9,"x,1,0,4,2,3",A# D A C F,"x, 1, 0, 2, 1, 1"
A#,maj9,1;3;5;7;9,"2,1,4,1,x,x",A# D A C,"6, 5, 7, 5, x, x"
A#,maj9,1;3;5;7;9,"x,x,4,1,2,1",A# C F A,"x, x, 8, 5, 6, 5"
A#,m,1;b3;5,"x,1,3,4,2,1",A# F A# C# F,"x, 1, 3, 3, 2, 1"
A#,m,1;b3;5,"1,3,4,1,1,1",A# F A# C# F A#,"6, 8, 8, 6, 6, 6"
A#,m,1;b3;5,"x,x,1,3,4,2",A# F A# C#,"x, x, 8, 10, 11, 9"
A#,m,1;b3;5,"x,x,3,1,1,x",A# C# F,"x, x, 8, 6, 6, x"
A#,7b5,1;3;b5;b7,"x,1,2,1,3,x",A# E G# D,"x, 1, 2, 1, 3, x"
A#,7b5,1;3;b5;b7,"x,x,2,4,1,3",G# D E A#,"x, x, 6, 7, 5, 6"
A#,7b5,1;3;b5;b7,"x,x,1,2,3,4",A# E G# D,"x, x, 8, 9, 9, 10"
A#,m7,1;b3;5;b7,"x,1,3,1,2,1",A# F G# C# F,"x, 1, 3, 1, 2, 1"
A#,m7,1;b3;5;b7,"1,3,1,1,4,1",A# F G# C# G# A#,"6, 8, 6, 6, 9, 6"
A#,m7,1;b3;5;b7,"x,x,1,4,2,3",A# F G# C#,"x, x, 8, 10, 9, 9"
A#,dim,1;b3;b5,"x,1,2,3,4,x",A# E A# C#,"x, 1, 2, 3, 2, x"
A#,dim,1;b3;b5,"x,x,4,3,1,2",A# C# E A#,"x, x, 8, 6, 5, 6"
A#,dim,1;b3;b5,"1,2,3,1,x,x",A# E A# C#,"6, 7, 8, 6, x, x"
A#,6,1;3;5;6,"x,1,3,3,3,3",A# F A# D G,"x, 1, 3, 3, 3, 3"
A#,6,1;3;5;6,"1,x,3,2,4,1",A# A# D G A#,"6, x, 8, 7, 8, 6"
A#,6,1;3;5;6,"x,x,1,3,1,4",A# F G D,"x, x, 8, 10, 8, 10"
A#,7(#5),1;3;#5;b7,"x,1,4,1,3,2",A# F G# D F,"x, 1, 3, 1, 3, 1"
A#,7(#5),1;3;#5;b7,"1,x,1,2,3,1",A# G# D F A#,"6, x, 6, 7, 6, 6"
A#,7(#5),1;3;#5;b7,"x,1,2,1,1,x",G# D F A#,"x, 11, 0, 10, 11, x"
A#,7sus4,1;4;5;b7,"x,1,3,1,4,1",A# F G# D# F,"x, 1, 3, 1, 4, 1"
A#,7sus4,1;4;5;b7,"1,3,1,4,1,1",A# F G# D# F A#,"6, 8, 6, 8, 6, 6"
A#,7sus4,1;4;5;b7,"x,x,1,3,2,4",A# F G# D#,"x, x, 8, 10, 9, 11"
A#,maj7,1;3;5;7,"x,1,3,2,4,1",A# F A D F,"x, 1, 3, 2, 3, 1"
A#,maj7,1;3;5;7,"1,4,2,3,1,x",A# F A D F,"6, 8, 7, 7, 6, x"
A#,maj7,1;3;5;7,"x,4,3,1,1,1",A# D F A D,"x, 1, 0, 10, 10, 10"
A#,5,1;5,"1,3,x,x,x,x",A# F,"6, 8, x, x, x, x"
A#,m6,1;b3;5;6,"x,1,3,0,2,4",A# F G C# G,"x, 1, 3, 0, 2, 3"
A#,m6,1;b3;5;6,"1,x,3,1,4,1",A# A# C# G A#,"6, x, 8, 6, 8, 6"
A#,m6,1;b3;5;6,"x,x,1,3,1,2",A# F G C#,"x, x, 8, 10, 8, 9"
A#,7(b9),1;3;5;b7;b9,"x,1,0,2,x,3",A# D G# F,"x, 1, 0, 1, x, 1"
A#,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x",A# D G# B,"6, 5, 6, 4, x, x"
A#,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3",A# G# D F B,"6, x, 6, 7, 6, 7"
A#,m9,1;b3;5;b7;9,"3,1,4,2,x,x",A# C# G# C,"6, 4, 6, 5, x, x"
A#,m9,1;b3;5;b7;9,"1,3,1,1,1,4",A# F G# C# F C,"6, 8, 6, 6, 6, 8"
A#,m9,1;b3;5;b7;9,"x,2,1,3,4,x",A# C# G# C,"x, 1, 11, 1, 1, x"
A#,sus4,1;4;5,"x,1,2,3,4,1",A# F A# D# F,"x, 1, 3, 3, 4, 1"
A#,sus4,1;4;5,"x,x,1,1,2,4",F A# D# A#,"x, x, 3, 3, 4, 6"
A#,sus4,1;4;5,"1,1,3,4,1,1",A# D# A# D# F A#,"6, 6, 8, 8, 6, 6"
A#,6/9,1;3;5;6;9,"x,1,0,0,2,3",A# D G C F,"x, 1, 0, 0, 1, 1"
A#,6/9,1;3;5;6;9,"2,1,1,1,3,4",A# D G C F A#,"6, 5, 5, 5, 6, 6"
A#,6/9,1;3;5;6;9,"x,x,2,1,3,4",A# D G C,"x, x, 8, 7, 8, 8"
C#,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4",C# F B D# A#,"x, 4, 3, 4, 4, 6"
C#,13,1;3;5;b7;9;11;13,"3,x,4,2,1,1",C# B D# F A#,"9, x, 9, 8, 6, 6"
C#,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4",C# B F A# D#,"9, x, 9, 10, 11, 11"
C#,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x",C# F B F,"x, 4, 3, 4, 6, x"
C#,7(#9),1;3;5;b7;#9,"2,1,3,3,3,x",C# F B F G#,"9, 8, 9, 10, 9, x"
C#,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4",C# G# B F G# F,"9, 11, 9, 10, 9, 1"
C#,9,1;3;5;b7;9,"x,2,1,3,4,x",C# F B D#,"x, 4, 3, 4, 4, x"
C#,9,1;3;5;b7;9,"x,1,3,2,4,x",F B D# G#,"x, 8, 9, 8, 9, x"
C#,9,1;3;5;b7;9,"x,x,2,1,3,4",B D# G# C#,"x, x, 9, 8, 9, 9"
C#,9,1;3;5;b7;9,"x,2,1,3,3,3",C# F B D# G#,"x, 4, 3, 4, 4, 4"
C#,9,1;3;5;b7;9,"x,x,3,2,1,4",B D# F C#,"x, x, 9, 8, 6, 9"
C#,9b5,1;3;b5;b7;9,"1,2,1,3,4,1",G C# F B D# G,"3, 4, 3, 4, 4, 3"
C#,9b5,1;3;b5;b7;9,"2,1,3,1,1,4",C# F B D# G C#,"9, 8, 9, 8, 8, 9"
C#,9b5,1;3;b5;b7;9,"x,x,1,2,3,1",C# G B D#,"x, x, 11, 0, 0, 11"
C#,7,1;3;5;b7,"x,3,2,4,1,x",C# F B C#,"x, 4, 3, 4, 2, x"
C#,7,1;3;5;b7,"x,1,3,1,4,1",C# G# B F G#,"x, 4, 6, 4, 6, 4"
C#,7,1;3;5;b7,"1,3,1,2,4,1",C# G# B F B C#,"9, 11, 9, 10, 0, 9"
C#,7,1;3;5;b7,"x,x,2,3,1,4",F B C# G#,"x, x, 3, 4, 2, 4"
C#,7,1;3;5;b7,"x,2,1,3,0,4",C# F B B G#,"x, 4, 3, 4, 0, 4"
C#,7,1;3;5;b7,"2,x,3,4,1,x",G# F B C#,"4, x, 3, 4, 2, x"
C#,7,1;3;5;b7,"1,3,1,2,1,1",C# G# B F G# C#,"9, 11, 9, 10, 9, 9"
C#,7,1;3;5;b7,"x,2,1,3,x,x",C# F B,"x, 4, 3, 4, x, x"
C#,7,1;3;5;b7,"1,x,1,2,x,x",C# B F,"9, x, 9, 10, x, x"
C#,7,1;3;5;b7,"x,x,1,1,1,2",G# C# F B,"x, x, 6, 6, 6, 7"
C#,7,1;3;5;b7,"x,x,1,3,2,4",C# G# B F,"x, x, 11, 1, 0, 1"
C#,dim7,1;b3;b5;bb7,"2,4,1,3,x,x",G C# E Bb,"3, 4, 2, 3, x, x"
C#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",E Bb C# G,"x, 7, 8, 6, 8, x"
C#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",C# G Bb E,"x, x, 11, 0, 11, 0"
C#,dim7,1;b3;b5;bb7,"x,2,3,1,4,x",C# G Bb E,"x, 4, 5, 3, 5, x"
C#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",G C# E Bb,"x, x, 5, 6, 5, 6"
C#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",Bb E G C#,"x, x, 8, 9, 8, 9"
C#,dim7,1;b3;b5;bb7,"2,x,1,3,x,x",C# Bb E,"9, x, 8, 9, x, x"
C#,dim7,1;b3;b5;bb7,"x,x,1,3,2,4",E Bb C# G,"x, x, 2, 3, 2, 3"
C#,dim7,1;b3;b5;bb7,"3,x,1,4,2,x",G E Bb C#,"3, x, 2, 3, 2, x"
C#,dim7,1;b3;b5;bb7,"x,3,1,2,x,x",C# E Bb,"x, 4, 2, 3, x, x"
C#,dim7,1;b3;b5;bb7,"x,2,3,1,4,1",C# G Bb E G,"x, 4, 5, 3, 5, 3"
C#,aug,1;3;#5,"x,3,2,1,1,x",C# F A C#,"x, 4, 3, 2, 2, x"
C#,aug,1;3;#5,"4,3,2,1,x,x",A C# F A,"5, 4, 3, 2, x, x"
C#,aug,1;3;#5,"x,x,4,2,3,1",C# F A C#,"x, x, 11, 10, 10, 9"
C#,maj,1;3;5,"x,4,3,1,2,1",C# F G# C# F,"x, 4, 3, 1, 2, 1"
C#,maj,1;3;5,"x,1,3,3,3,x",C# G# C# F,"x, 4, 6, 6, 6, x"
C#,maj,1;3;5,"1,3,4,2,1,1",C# G# C# F G# C#,"9, 11, 11, 10, 9, 9"
C#,maj,1;3;5,"x,x,3,3,3,x",G# C# F,"x, x, 6, 6, 6, x"
C#,maj,1;3;5,"x,1,2,3,4,1",C# G# C# F G#,"x, 4, 6, 6, 6, 4"
